step 0: train loss 10.9886, val loss 10.9897
step 400: train loss 5.8624, val loss 5.8698
saving checkpoint to out
iter 400: loss 5.7815, time 9072.89ms, mfu 97.52%
iter 401: loss 5.7919, time 305.80ms, mfu 98.78%
iter 402: loss 5.9602, time 306.14ms, mfu 99.90%
iter 403: loss 5.7687, time 314.13ms, mfu 100.62%
iter 404: loss 5.7417, time 309.46ms, mfu 101.44%
iter 405: loss 5.7559, time 311.66ms, mfu 102.10%
iter 406: loss 5.7787, time 311.88ms, mfu 102.68%
iter 407: loss 5.6698, time 309.45ms, mfu 103.29%
iter 408: loss 5.6200, time 310.52ms, mfu 103.81%
iter 409: loss 5.8876, time 314.25ms, mfu 104.14%
iter 410: loss 5.8968, time 311.23ms, mfu 104.54%
iter 411: loss 5.4957, time 311.91ms, mfu 104.88%
iter 412: loss 5.5503, time 311.85ms, mfu 105.19%
iter 413: loss 5.9832, time 310.19ms, mfu 105.52%
iter 414: loss 5.8410, time 310.43ms, mfu 105.81%
iter 415: loss 5.8542, time 314.36ms, mfu 105.94%
iter 416: loss 5.8392, time 311.15ms, mfu 106.17%
iter 417: loss 5.6913, time 311.27ms, mfu 106.36%
iter 418: loss 5.6549, time 311.78ms, mfu 106.53%
iter 419: loss 5.8428, time 310.48ms, mfu 106.72%
iter 420: loss 5.6543, time 311.19ms, mfu 106.86%
iter 421: loss 5.8498, time 311.03ms, mfu 107.00%
iter 422: loss 5.8813, time 313.92ms, mfu 107.02%
iter 423: loss 5.8191, time 312.92ms, mfu 107.08%
iter 424: loss 5.7208, time 310.76ms, mfu 107.20%
iter 425: loss 5.7509, time 311.38ms, mfu 107.30%
iter 426: loss 5.5657, time 310.61ms, mfu 107.40%
iter 427: loss 5.6140, time 314.54ms, mfu 107.37%
iter 428: loss 5.8177, time 312.75ms, mfu 107.39%
iter 429: loss 5.7503, time 310.14ms, mfu 107.51%
iter 430: loss 5.7058, time 311.31ms, mfu 107.57%
iter 431: loss 5.5946, time 310.42ms, mfu 107.66%
iter 432: loss 5.7160, time 314.77ms, mfu 107.59%
iter 433: loss 5.8000, time 312.92ms, mfu 107.59%
iter 434: loss 5.5588, time 311.65ms, mfu 107.63%
iter 435: loss 5.8622, time 310.77ms, mfu 107.70%
iter 436: loss 6.0128, time 310.23ms, mfu 107.78%
iter 437: loss 5.8272, time 314.65ms, mfu 107.70%
iter 438: loss 5.7367, time 313.31ms, mfu 107.68%
iter 439: loss 5.8082, time 311.63ms, mfu 107.71%
iter 440: loss 5.7117, time 310.80ms, mfu 107.77%
iter 441: loss 5.6793, time 314.35ms, mfu 107.71%
iter 442: loss 5.8365, time 323.37ms, mfu 107.35%
iter 443: loss 5.6886, time 300.81ms, mfu 107.80%
iter 444: loss 5.7366, time 310.62ms, mfu 107.86%
iter 445: loss 5.7431, time 314.65ms, mfu 107.77%
iter 446: loss 5.8754, time 313.17ms, mfu 107.75%
iter 447: loss 5.8087, time 312.04ms, mfu 107.76%
iter 448: loss 5.6203, time 310.60ms, mfu 107.82%
iter 449: loss 5.8057, time 313.05ms, mfu 107.79%
iter 450: loss 5.7134, time 313.92ms, mfu 107.74%
iter 451: loss 5.6729, time 313.05ms, mfu 107.72%
iter 452: loss 5.5855, time 310.08ms, mfu 107.80%
iter 453: loss 5.8801, time 311.36ms, mfu 107.84%
iter 454: loss 5.7304, time 314.69ms, mfu 107.75%
iter 455: loss 5.4947, time 311.90ms, mfu 107.77%
iter 456: loss 5.6379, time 311.07ms, mfu 107.81%
iter 457: loss 5.7436, time 310.51ms, mfu 107.87%
iter 458: loss 5.6790, time 312.62ms, mfu 107.85%
iter 459: loss 5.7031, time 313.53ms, mfu 107.81%
